track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Yellow,0.429,0.661,11.0,-7.227,1.0,0.0281,0.00239,0.000121,0.234,0.285,173.372,4.0
All The Small Things,0.434,0.897,5.930596285434995,-4.918,1.0,0.0488,0.0103,0.03046073657362849,0.612,0.684,148.726,4.0
Breathe,0.529,0.496,7.0,-9.007,1.0,0.029,0.173,0.03046073657362849,0.251,0.278,136.859,4.0
In the End,0.556,0.864,3.0,-5.87,1.0,0.0584,0.00958,0.03046073657362849,0.209,0.4,105.143,4.0
Bye Bye Bye,0.61,0.926,8.0,-4.843,1.0,0.0479,0.031,0.0012,0.0821,0.861,172.638,4.0
Thong Song,0.706,0.888,2.0,-6.959,1.0,0.0654,0.119,9.64e-05,0.07,0.714,121.549,4.0
The Real Slim Shady,0.949,0.661,5.0,-4.244,1.0,0.0572,0.0302,0.03046073657362849,0.0454,0.76,104.504,4.0
Rock DJ,0.712,0.762,7.0,-4.307,1.0,0.0326,0.026,0.03046073657362849,0.0981,0.842,103.032,4.0
Say My Name,0.713,0.678,5.0,-3.525,1.0,0.102,0.273,0.03046073657362849,0.149,0.734,138.009,4.0
Otherside,0.458,0.795,5.930596285434995,-3.265,1.0,0.0574,0.00316,0.000202,0.0756,0.513,123.229,4.0
Kryptonite,0.545,0.865,11.0,-5.708,1.0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,4.0
Forgot About Dre,0.924,0.74,8.0,-1.299,1.0,0.0774,0.0827,0.03046073657362849,0.163,0.621,133.974,4.0
Lady - Hear Me Tonight,0.72,0.808,6.0,-5.627,1.0,0.0379,0.00793,0.0293,0.0634,0.869,126.041,4.0
Better Off Alone,0.671,0.882,8.0,-6.149,1.0,0.0552,0.00181,0.667,0.285,0.787,136.955,4.0
Take A Look Around,0.425,0.852,11.0,-5.607,1.0,0.046,0.0175,0.306,0.0935,0.512,101.968,4.0
L'Amour Toujours,0.638,0.877,7.0,-4.449,1.0,0.0302,0.0771,0.0221,0.364,0.743,139.052,4.0
Teenage Dirtbag,0.625,0.85,4.0,-3.904,1.0,0.0495,0.346,0.000233,0.174,0.633,94.661,4.0
Shape of My Heart,0.575,0.786,9.0,-4.353,1.0,0.0296,0.252,0.03046073657362849,0.159,0.518,96.102,4.0
Big Pimpin',0.88,0.814,11.0,-6.307,1.0,0.14,0.168,0.00672,0.0584,0.942,138.083,4.0
Party Up,0.51,0.931,11.0,-3.302,1.0,0.347,0.0738,0.03046073657362849,0.5,0.53,201.936,4.0
"Jumpin', Jumpin'",0.771,0.685,1.0,-4.639,1.0,0.0567,0.00543,0.00157,0.0537,0.683,88.997,4.0
Sandstorm,0.528,0.965,11.0,-7.984,1.0,0.0465,0.141,0.985,0.0797,0.587,136.065,4.0
7 Days,0.659,0.812,4.0,-7.499,1.0,0.0487,0.23,0.03046073657362849,0.0951,0.888,83.014,4.0
Amazed,0.561,0.543,1.0,-8.498,1.0,0.0324,0.26,0.03046073657362849,0.124,0.243,139.803,4.0
Country Grammar (Hot Shit),0.865,0.664,2.0,-6.822,1.0,0.108,0.00689,0.03046073657362849,0.142,0.565,162.831,4.0
Breathless,0.607,0.82,11.0,-7.754,1.0,0.0597,0.0541,6.8e-05,0.269,0.768,126.988,4.0
My Love,0.491,0.593,5.930596285434995,-5.975,1.0,0.0255,0.098,0.03046073657362849,0.257,0.328,144.142,4.0
It's Gonna Be Me,0.636,0.873,5.930596285434995,-4.672,1.0,0.071,0.0407,1.27e-06,0.0372,0.908,165.071,4.0
Can't Fight The Moonlight,0.628,0.834,6.0,-6.341,1.0,0.0497,0.403,0.03046073657362849,0.051,0.626,97.865,4.0
Try Again,0.794,0.662,6.0,-4.913,1.0,0.249,0.0789,0.03046073657362849,0.0937,0.683,93.053,4.0
He Wasn't Man Enough,0.739,0.947,11.0,-1.916,1.0,0.0411,0.00916,3.14e-05,0.326,0.766,88.009,4.0
Lucky,0.765,0.791,8.0,-5.707,1.0,0.0317,0.262,0.000154,0.0669,0.966,95.026,4.0
Absolutely (Story of a Girl) - Radio Mix,0.481,0.94,7.0,-5.204,1.0,0.066,0.000891,0.03046073657362849,0.0939,0.66,96.493,4.0
I Wanna Know,0.725,0.487,8.0,-5.959,1.0,0.0368,0.26,1.09e-05,0.431,0.599,136.086,4.0
Who Let The Dogs Out,0.869,0.887,5.930596285434995,-4.505,1.0,0.0993,0.0605,0.03046073657362849,0.148,0.784,129.221,4.0
Sexbomb,0.801,0.876,8.0,-3.94,1.0,0.0446,0.144,1.38e-05,0.104,0.932,122.979,4.0
"Independent Women, Pt. 1",0.73,0.602,6.0,-3.782,1.0,0.206,0.362,3.69e-06,0.169,0.927,97.954,4.0
This I Promise You,0.55,0.587,2.0,-6.279,1.0,0.0329,0.354,0.03046073657362849,0.128,0.466,165.975,4.0
"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",0.854,0.543,8.0,-6.166,1.0,0.0844,0.0402,5.73e-05,0.0419,0.868,103.032,4.0
Beautiful Day,0.539,0.926,2.0,-6.495,1.0,0.0499,0.014,0.00136,0.36,0.454,136.279,4.0
The Riddle,0.74,0.876,6.0,-6.87,1.0,0.0369,0.0173,0.00152,0.0785,0.825,127.002,4.0
I Hope You Dance,0.385,0.443,7.0,-9.627,1.0,0.0295,0.0632,0.03046073657362849,0.0898,0.275,151.278,4.0
Never Let You Go - 2008 Remaster,0.728,0.94,4.0,-5.034,1.0,0.0368,0.0814,0.000162,0.109,0.967,113.76,4.0
Come on over Baby (All I Want Is You) - Radio Version,0.829,0.915,8.0,-3.205,1.0,0.106,0.226,1.25e-05,0.246,0.779,118.903,4.0
It Feels So Good,0.634,0.677,5.0,-7.278,1.0,0.0304,0.0117,0.00103,0.126,0.558,135.012,4.0
Take A Picture,0.541,0.776,2.0,-8.042,1.0,0.0298,0.00147,0.000221,0.178,0.282,98.986,4.0
That's the Way It Is,0.634,0.886,9.0,-5.424,1.0,0.0434,0.154,0.03046073657362849,0.118,0.577,93.04,4.0
Shackles (Praise You),0.779,0.834,7.0,-2.773,1.0,0.162,0.0343,0.03046073657362849,0.0886,0.8,100.46,4.0
What a Girl Wants,0.754,0.819,5.930596285434995,-6.833,1.0,0.112,0.0684,0.03046073657362849,0.345,0.818,142.137,4.0
Fool Again,0.533,0.512,4.0,-6.851,1.0,0.0288,0.0475,0.03046073657362849,0.0442,0.553,75.984,4.0
Everything You Want,0.636,0.761,3.0,-6.389,1.0,0.0306,0.0517,0.03046073657362849,0.0642,0.736,93.896,4.0
Hemorrhage (In My Hands),0.301,0.823,1.0,-4.072,1.0,0.0433,0.000144,0.000309,0.0833,0.372,152.017,4.0
Born to Make You Happy,0.633,0.922,11.0,-4.842,1.0,0.0454,0.116,0.000465,0.071,0.686,84.11,4.0
I Turn to You,0.599,0.47,1.0,-8.356,1.0,0.0376,0.38,0.03046073657362849,0.111,0.298,127.177,4.0
I Just Wanna Love U (Give It 2 Me),0.8,0.922,4.0,-5.125,1.0,0.24,0.301,9.31e-06,0.0352,0.801,98.631,4.0
Be Like That,0.487,0.702,7.0,-6.043,1.0,0.0238,0.00528,4.97e-06,0.129,0.306,95.982,4.0
Shalala Lala,0.751,0.901,2.0,-5.802,1.0,0.0328,0.0504,0.00308,0.0395,0.973,124.017,4.0
Fill Me In,0.682,0.744,8.0,-6.981,1.0,0.0365,0.376,0.00951,0.06,0.827,132.493,4.0
Thank God I Found You (feat. Joe & 98Â°),0.348,0.532,10.0,-5.882,1.0,0.0331,0.592,0.03046073657362849,0.106,0.148,129.297,4.0
I Need You,0.478,0.736,7.0,-7.124,1.0,0.0367,0.02,9.58e-05,0.118,0.564,144.705,4.0
Life Is A Rollercoaster,0.655,0.791,5.930596285434995,-8.923,1.0,0.0302,0.1,0.000124,0.334,0.862,118.981,4.0
She Bangs - English Version,0.63,0.95,1.0,-4.012,1.0,0.0806,0.000915,6.51e-06,0.373,0.858,143.866,4.0
Never Be The Same Again,0.689,0.685,3.0,-5.153,1.0,0.0478,0.0921,0.03046073657362849,0.119,0.398,160.067,4.0
Against All Odds (Take A Look at Me Now) - Mariah Only,0.542,0.498,1.0,-6.332,1.0,0.0299,0.49,0.03046073657362849,0.101,0.218,117.763,4.0
Where I Wanna Be,0.664,0.396,5.0,-9.131,1.0,0.0298,0.52,0.03046073657362849,0.268,0.453,102.053,4.0
Hey Baby (Radio Mix),0.666,0.968,10.0,-3.196,1.0,0.046,0.123,0.03046073657362849,0.347,0.834,135.099,4.0
The Way You Love Me,0.627,0.716,2.0,-7.175,1.0,0.0352,0.127,0.03046073657362849,0.0344,0.734,101.99,4.0
Be With You,0.683,0.866,1.0,-5.436,1.0,0.0329,0.0395,0.00161,0.0483,0.542,121.996,4.0
No More,0.839,0.641,10.0,-5.669,1.0,0.0858,0.0324,4.56e-06,0.0602,0.927,97.004,4.0
There You Go,0.822,0.847,10.0,-6.729,1.0,0.0917,0.0854,0.03046073657362849,0.0452,0.668,107.908,4.0
Rise,0.558,0.481,8.0,-9.487,1.0,0.026,0.315,8.83e-06,0.09,0.631,144.673,4.0
Wonderful,0.514,0.817,7.0,-6.489,1.0,0.05,0.0118,8.25e-06,0.346,0.734,186.765,4.0
You Sang To Me,0.578,0.894,10.0,-5.42,1.0,0.0296,0.0103,2.66e-06,0.216,0.741,165.98,4.0
Bag Lady,0.724,0.416,5.0,-8.964,1.0,0.0841,0.365,0.03046073657362849,0.0969,0.578,151.181,4.0
Bent,0.518,0.83,6.0,-6.814,1.0,0.0386,0.0404,3.85e-06,0.375,0.527,95.468,4.0
Gotta Tell You,0.739,0.75,5.930596285434995,-4.513,1.0,0.0278,0.205,0.03046073657362849,0.157,0.758,109.983,4.0
Dancing in the Moonlight,0.632,0.856,5.930596285434995,-3.453,1.0,0.0358,0.0568,0.03046073657362849,0.35,0.843,119.404,4.0
Don't Call Me Baby,0.808,0.982,3.0,-6.588,1.0,0.0311,0.0585,0.00689,0.35,0.961,124.999,4.0
Let's Get Married,0.761,0.627,1.0,-5.554,1.0,0.0538,0.175,0.03046073657362849,0.128,0.891,109.821,4.0
Wifey,0.829,0.652,7.0,-8.693,1.0,0.108,0.067,0.03046073657362849,0.0812,0.726,99.581,4.0
Case Of The Ex (Whatcha Gonna Do),0.774,0.684,1.0,-4.721,1.0,0.0408,0.0687,9.34e-05,0.0765,0.354,98.001,4.0
Freestyler,0.822,0.922,11.0,-5.798,1.0,0.0989,0.0291,0.325,0.252,0.568,163.826,4.0
I Wish,0.736,0.666,1.0,-4.929,1.0,0.0337,0.0593,3.82e-05,0.107,0.224,89.824,4.0
The Time Is Now,0.682,0.743,9.0,-10.644,1.0,0.165,0.35,0.000129,0.277,0.546,127.962,4.0
Reach,0.597,0.793,7.0,-7.006,1.0,0.0361,0.0123,5.45e-06,0.157,0.755,167.2,4.0
Separated,0.798,0.48,5.930596285434995,-5.564,1.0,0.0276,0.247,0.03046073657362849,0.237,0.643,108.241,4.0
Crash and Burn,0.581,0.607,4.0,-8.458,1.0,0.028,0.189,1.6e-06,0.0882,0.213,102.03,4.0
Get It On Tonite,0.807,0.498,10.0,-9.91,1.0,0.0756,0.259,3.04e-05,0.0618,0.857,99.001,4.0
